ISO Code,CountryName,Uncertainty bounds*,1955.5,1956.5,1957.5,1958.5,1959.5,1960.5,1961.5,1962.5,1963.5,1964.5,1965.5,1966.5,1967.5,1968.5,1969.5,1970.5,1971.5,1972.5,1973.5,1974.5,1975.5,1976.5,1977.5,1978.5,1979.5,1980.5,1981.5,1982.5,1983.5,1984.5,1985.5,1986.5,1987.5,1988.5,1989.5,1990.5,1991.5,1992.5,1993.5,1994.5,1995.5,1996.5,1997.5,1998.5,1999.5,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2017.5
AFG,Afghanistan,Lower,,,,,,,,,,,,"142,982","143,968","144,907","145,832","146,645","147,837","148,495","149,094","149,374","149,554","149,119","147,832","145,779","143,003","139,655","135,647","130,965","125,792","120,673","115,641","111,078","107,170","104,322","102,502","101,676","101,852","103,002","104,715","106,863","109,165","111,590","113,687","115,502","116,661","117,021","116,726","115,852","114,528","112,697","110,504","107,958","104,924","101,522","97,607","93,455","89,155","84,664","80,132","75,600","71,242","67,382","63,692","60,178"
AFG,Afghanistan,Median,,,,,,,,,,,,"161,627","162,676","163,762","164,738","165,779","166,651","167,425","167,899","168,225","167,950","167,116","165,624","163,190","159,888","155,734","150,908","145,403","139,523","133,489","127,640","122,308","117,745","114,250","111,889","110,670","110,601","111,580","113,313","115,458","117,882","120,253","122,417","124,128","125,281","125,739","125,545","124,636","123,165","121,212","118,828","116,068","112,952","109,483","105,746","101,882","97,906","93,956","90,103","86,378","82,918","79,770","76,877","74,278"
AFG,Afghanistan,Upper,,,,,,,,,,,,"182,505","183,791","185,342","186,552","188,203","189,422","190,702","191,231","191,067","190,469","189,031","186,971","183,939","179,872","175,193","169,523","163,222","156,286","148,906","141,921","135,387","129,726","125,186","122,165","120,335","119,935","120,723","122,401","124,632","127,129","129,694","131,838","133,596","134,695","135,197","134,981","134,101","132,466","130,301","127,844","125,060","121,835","118,345","114,731","111,090","107,471","104,015","100,789","97,847","95,244","92,986","91,134","89,895"
ALB,Albania,Lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,857","3,738","3,616","3,480","3,334","3,185","3,034","2,875","2,710","2,540","2,366","2,190","2,010","1,832","1,662","1,499","1,346","1,207","1,080",965,863,771,692,624,567,519,479,446,416,390,366,345,327,312,298,283
ALB,Albania,Median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,707","4,447","4,215","4,001","3,803","3,608","3,418","3,233","3,046","2,858","2,665","2,472","2,278","2,083","1,891","1,708","1,537","1,380","1,235","1,104",985,877,782,699,627,567,517,474,438,406,380,358,340,326,313,302
ALB,Albania,Upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,678","5,241","4,890","4,575","4,318","4,074","3,848","3,638","3,429","3,210","2,993","2,781","2,566","2,351","2,143","1,939","1,750","1,573","1,411","1,262","1,125",997,881,782,695,620,557,503,459,424,394,371,353,340,330,323
DZA,Algeria,Lower,,,,,"107,733","111,042","114,512","117,604","120,844","123,847","126,971","129,726","132,719","135,519","137,600","139,370","140,309","140,520","140,088","139,237","137,653","135,508","132,777","129,008","123,865","116,854","107,103","95,231","82,801","71,164","61,192","53,351","47,666","43,530","40,557","38,355","36,584","34,920","33,324","31,630","29,975","28,448","27,058","25,800","24,763","23,901","23,185","22,618","22,196","21,966","21,889","21,953","22,149","22,368","22,621","22,885","23,184","23,532","23,841","24,070","24,143","23,999","23,541","22,706"
DZA,Algeria,Median,,,,,"123,727","126,869","130,141","133,486","137,154","140,877","144,246","147,644","150,606","153,183","154,894","156,040","156,228","155,726","154,358","151,928","148,804","145,034","140,439","134,924","128,292","119,945","109,488","97,353","84,809","72,921","62,737","54,945","49,504","45,723","43,077","41,099","39,409","37,713","35,906","33,912","31,858","29,906","28,140","26,621","25,389","24,421","23,653","23,046","22,624","22,384","22,304","22,380","22,560","22,798","23,049","23,316","23,622","23,980","24,347","24,638","24,791","24,740","24,460","23,950"
DZA,Algeria,Upper,,,,,"142,431","145,055","148,390","152,090","156,006","160,005","163,586","167,026","170,132","172,606","174,117","174,463","173,817","171,872","169,236","165,540","160,709","155,214","148,707","141,330","132,812","123,100","112,049","99,643","86,975","74,777","64,312","56,571","51,415","48,010","45,696","43,951","42,411","40,631","38,563","36,258","33,823","31,472","29,274","27,449","26,027","24,946","24,128","23,487","23,061","22,805","22,720","22,805","22,984","23,240","23,489","23,761","24,080","24,448","24,871","25,211","25,435","25,495","25,411","25,291"
AND,Andorra,Lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1
AND,Andorra,Median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2
AND,Andorra,Upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,10,9,9,8,7,7,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3
